geneID	start	end	strand	island start	island end
ENSG00000236875	12134	12134	13783	12000	13000
ENSG00000236875	12134	12134	13783	12000	13000
ENSG00000236875	12134	12134	13783	13000	14000
ENSG00000236875	12134	12134	13783	13000	14000
ENSG00000227518	27657	27657	30891	29000	30000
ENSG00000227518	27657	27657	30891	29000	30000
ENSG00000181404	73683	73683	73865	73000	74000
ENSG00000284986	52452	52452	73374	73000	74000
ENSG00000277631	72670	72670	89850	73000	74000
ENSG00000181404	73683	73683	73865	73000	74000
ENSG00000284986	52452	52452	73374	73000	74000
ENSG00000277631	72670	72670	89850	73000	74000
ENSG00000277631	72670	72670	89850	83000	84000
ENSG00000277631	72670	72670	89850	83000	84000
ENSG00000231808	112713	112713	113754	113000	114000
ENSG00000231808	112713	112713	113754	113000	114000
ENSG00000183784	212824	212824	215893	214000	215000
ENSG00000183784	212824	212824	215893	214000	215000
ENSG00000227155	452492	452492	492248	470000	471000
ENSG00000227155	452492	452492	492248	470000	471000
ENSG00000286684	1041655	1041655	1042608	1042000	1043000
ENSG00000286684	1041655	1041655	1042608	1042000	1043000
ENSG00000281769	1045625	1045625	1048641	1045000	1046000
ENSG00000281769	1045625	1045625	1048641	1045000	1046000
ENSG00000281769	1045625	1045625	1048641	1046000	1047000
ENSG00000281769	1045625	1045625	1048641	1046000	1047000
ENSG00000236404	2421597	2421597	2622457	2621000	2622000
ENSG00000236404	2421597	2421597	2622457	2621000	2622000
ENSG00000236404	2421597	2421597	2622457	2622000	2623000
ENSG00000236404	2421597	2421597	2622457	2622000	2623000
ENSG00000227835	2907073	2907073	3053408	2933000	2934000
ENSG00000227835	2907073	2907073	3053408	2933000	2934000
ENSG00000227835	2907073	2907073	3053408	2934000	2935000
ENSG00000227835	2907073	2907073	3053408	2934000	2935000
ENSG00000236511	3181342	3181342	3200445	3181000	3182000
ENSG00000236511	3181342	3181342	3200445	3181000	3182000
ENSG00000232104	3526723	3526723	3691814	3526000	3527000
ENSG00000232104	3526723	3526723	3691814	3526000	3527000
ENSG00000232104	3526723	3526723	3691814	3658000	3659000
